date,inflation,inflation.expectations.existing,inflation.expectations.ar3
1983-01-01,5.22200628065746,6.121103930555058,6.689617280972826
1983-04-01,3.0484347007100925,5.214692021257929,6.5841946367287125
1983-07-01,6.028045228814596,6.834961208089878,5.133043509276194
1983-10-01,3.1850165068762974,6.018599596401835,6.63539923256755
1984-01-01,4.021925191245167,5.540639296837617,5.21902410524758
1984-04-01,4.658388868773038,6.662721143102612,4.679558136405448
1984-07-01,3.7376463316431705,5.564625850031396,5.053569547360036
1984-10-01,2.833853190846283,4.317529263107845,4.239109494545964
1985-01-01,5.421960085753641,5.523426016760082,3.2646019986892343
1985-04-01,3.4511472576632527,4.645502320952232,4.259243365075789
1985-07-01,4.089737486241422,4.304508513763629,4.150096277906789
1985-10-01,2.8586539161733726,3.7787320697866162,4.1368241499921306
