date,exp.model,inflation.pcepilfe,exp.spf.cpi1y,exp.spf.cpi10y,exp.ar4.pcepilfe
1981-04-01,6.829388980648279,7.488359046499049,,,8.023966014639626
1981-07-01,6.82249243560892,7.299513913421407,7.8249,,7.047139406423213
1981-10-01,6.825978707527701,7.052303944498206,7.6998,,7.052509132614922
1982-01-01,6.002931001432131,5.812344362375477,6.6248,,7.010658368745495
1982-04-01,5.781690947459119,5.374375857830138,6.0374,,6.6065835004191005
1982-07-01,6.709971563868861,6.36138386473899,5.9749,,6.346472303304539
1982-10-01,6.426911329540605,5.531929899447441,5.4994,,7.17542814249679
1983-01-01,6.121103930555058,5.219113653750185,4.5245,,6.963418361012638
1983-04-01,5.214692021257929,3.048479208060506,4.7248,,6.690149236981378
1983-07-01,6.834961208089878,6.0338629875230865,4.5375,,4.709750386614254
1983-10-01,6.018599596401835,3.1878591219401287,5.1498,,6.149624484029751
