date,inflation,inflation.pcepilfe.yoy,inflation.expectations,exp.ma4,exp.ma4.yoy,exp.ma4.model
1966-07-01,3.2863360288283365,2.463730438538514,2.062942017186965,2.461823188126002,1.7984742773658913,
1966-10-01,3.441126478206559,2.992229838240723,2.0737030287045477,2.9883906137228657,2.214582756065009,
1967-01-01,2.19501017538028,3.0415005899105285,1.8474144924525486,3.035742853396148,2.612240040569591,
1967-04-01,2.6764979391308534,2.8978196709145365,1.9173530761240123,2.8997426553865076,2.8488201344010755,
1967-07-01,3.6150873681066584,2.9800232397935833,2.129362838003434,2.9819304902060875,2.977893334714843,
1967-10-01,4.022800110591609,3.1236252580795654,2.2869544564004745,3.1273488983023503,3.0107421896745534,
1968-01-01,4.526741037589472,3.7084010485566754,2.4472824141105662,3.710281613854648,3.17746730433609,
1968-04-01,4.626578440941069,4.1978017393072165,2.7210738062777953,4.197801739307202,3.50246282143426,
1968-07-01,4.446152761366902,4.405568087622225,3.181423482737128,4.405568087622263,3.8588490333914205,
1968-10-01,4.62848267854268,4.558821456616213,3.7281909884523703,4.556988729610031,4.2176480830255825,
1969-01-01,4.346960231337235,4.512043528046972,4.415343349368157,4.512043528046972,4.4185587028981566,
1969-04-01,4.7523674877429185,4.545202459052966,4.742240017426262,4.543490789747434,4.505408882834594,3.146207443552661
1969-07-01,4.59505219106167,4.5807156471711075,4.600770295260395,4.580715647171126,4.549195772721815,3.3942868323087843
1969-10-01,4.663304476193937,4.591093603085827,4.851545704629729,4.58942109658394,4.557263809339219,3.2104806253935125
1970-01-01,4.351557463480278,4.587261502016915,4.576371022859467,4.590570404619701,4.576068302831704,3.3543620386970674
1970-04-01,4.481452497408952,4.522765966168496,4.636177479384311,4.522841657036209,4.5704591796105865,2.964879309616631
1970-07-01,4.431799733830069,4.482028542728322,4.563635496918885,4.482028542728309,4.54578740349989,3.3622822439560984
1970-10-01,5.591260845020237,4.709154063414767,5.51678987460642,4.714017634934884,4.575302518582125,3.3985216262737468
1971-01-01,5.022897051872422,4.8851614346356875,5.100829878411902,4.88185253203292,4.649777501736818,4.4250858226715595
1971-04-01,4.53086883243213,4.894128476005566,5.109721849416275,4.894206615788715,4.742618129196085,3.3643470215944333
1971-07-01,3.7585168149211063,4.725885886061487,4.392089866399052,4.725885886061474,4.803582465029377,2.91774013354878
1971-10-01,2.2714218142911404,3.900651724176285,3.4067931645948644,3.8959261283792,4.601456880219756,3.126817882626922
1972-01-01,3.830235667009495,3.5962408520802125,4.068224300736672,3.597760782163468,4.279226734580888,2.0844103729001966
1972-04-01,2.6903078011350545,3.136062685684493,2.6211652268559873,3.1376205243391992,3.8397102870006194,3.937717369817979
1972-07-01,2.996133491919772,2.947024693588851,3.265358007560786,2.9470246935888653,3.3949949888824604,3.3974272548323095
1972-10-01,2.5095309739695115,3.003528349244311,2.6983733419704974,3.006551983508458,3.170714145149467,2.4672615155299464
1973-01-01,2.777912602757771,2.7435123497912883,2.915348660977633,2.743471217445527,2.957532019577236,2.573102453447666
1973-04-01,5.41108518294022,3.4222066353544633,4.505348881294201,3.4236655628968187,3.0290680069947284,3.291925527403676
1973-07-01,5.2870334927817355,3.993511000805583,4.771243216636836,3.9963905631123096,3.2906895837989114,4.6647172020628185
1973-10-01,5.524902315521631,4.750302481111257,5.064529406295223,4.750233398500339,3.727383116765648,3.8880570259339406
1974-01-01,6.808890725555887,5.758060673580179,5.79922070341202,5.7579779291998685,4.481020197712871,3.690706627435066
1974-04-01,9.812889985103347,6.859888057282992,8.57823176093375,6.858429129740649,5.340440553195003,5.36117901742205
1974-07-01,11.266080426514309,8.357394797231654,10.902984291351622,8.353190863173793,6.43141150230152,6.989135612955115
1974-10-01,9.656426396908275,9.388784687433516,9.513276547311438,9.386071883520454,7.591032053882086,6.447991863516615
1975-01-01,7.743366712710236,9.62108693366619,7.162937333213339,9.619690880309042,8.556788618903589,5.0553203135413165
1975-04-01,6.040585952569588,8.67911284257481,5.662163318926421,8.676614872175602,9.011594815226543,5.48915721811477
1975-07-01,5.965486099570808,7.350141918688591,5.687119921842534,7.351466290439727,8.759781595590777,4.586051578341834
1975-10-01,6.459431091701131,6.5521354741080895,5.924316288987398,6.55221746413794,8.05061929225942,4.832243534960296
1976-01-01,6.042040652490015,6.125693293456225,5.495446449979728,6.126885949082885,7.176770882206928,5.855757839724374
1976-04-01,4.765941182501366,5.805726786166643,4.588992787818287,5.80822475656583,6.458424368104888,5.217097894811778
1976-07-01,6.2164693322383595,5.870970564732714,6.02756713646192,5.870970564732718,6.088631529615918,4.201409301801789
1976-10-01,6.203602573515524,5.808087599163203,5.762705060947518,5.807013435186317,5.902619560879696,6.064715241330884
1977-01-01,6.675545379833767,5.968829413162702,6.10123323252346,5.965389617022254,5.863403590806316,5.472156467663738
1977-04-01,6.074914382324941,6.292632916978125,5.605267389430317,6.292632916978148,5.985130123509185,5.796075387405612
1977-07-01,6.598440788451038,6.388125781031295,6.074769553482746,6.3881257810313175,6.114418927583831,4.768921409464798
1977-10-01,5.770983078681808,6.2776859503371085,5.458082947785812,6.279970907322889,6.231818515377308,6.206112883285304
1978-01-01,6.1963263362468535,6.156862543266239,5.83585085494792,6.16016614642616,6.278826797903193,5.242231167600863
1978-04-01,6.837773343720016,6.35088088677489,6.36070399093838,6.350880886774929,6.293388790352383,5.544620417076042
1978-07-01,6.808622442907344,6.402405272315814,6.225104058212618,6.403426300389006,6.2969586631735135,6.246016310102808
1978-10-01,7.116156108926849,6.738716533832534,6.41863309953417,6.739719557950266,6.412216309047369,6.0647072116898215
1979-01-01,5.427459239760306,6.5475697401888855,5.177266513292492,6.547502783828628,6.50989310827803,5.887231135633433
1979-04-01,8.691653592649235,7.0119410736719345,7.760668009004107,7.010972846060934,6.675158155002292,5.010081927459107
1979-07-01,7.32212127626352,7.139417908207424,6.720698928835479,7.139347554399977,6.859411313975194,7.316009769056755
1979-10-01,8.253535265769338,7.42469536772834,7.115307772152168,7.4236923436105995,7.030906022449146,6.55702933305327
1980-01-01,9.671480195207236,8.484778076354704,8.248280637299496,8.484697582472332,7.515208106490601,6.014758455635471
1980-04-01,8.846099465834419,8.52234082315766,7.610520148184352,8.523309050768628,7.892808043862033,6.915524257187537
1980-07-01,8.811277604022903,8.895679048897387,7.429934790687213,8.895598132708473,8.331873329034522,7.203984933791181
1980-10-01,9.631317019406376,9.238345432277839,8.376099708263316,9.240043571117734,8.785285845171897,6.718166226218408
1981-01-01,8.767419059496271,9.01576795061625,7.835953268340239,9.014028287189992,8.918033313737284,7.536228743593327
1981-04-01,7.494942604337594,8.675423833378915,6.829388980648279,8.676239071815786,8.956304066292597,7.22310303775964
1981-07-01,7.299454944904832,8.298352668805364,6.82249243560892,8.298283407036267,8.806972471269592,6.351825730511877
1981-10-01,7.045955907758613,7.654427780841377,6.825978707527701,7.651943129124327,8.410993058410476,6.45861272533479
1982-01-01,5.818591056880105,6.913130316698535,6.002931001432131,6.9147361284702855,7.885333649931047,6.797665395026372
1982-04-01,5.377393714884013,6.384634519531307,5.781690947459119,6.385348906106891,7.312636321469146,6.144021986472887
1982-07-01,6.355265364689257,6.150102007360703,6.709971563868861,6.149301511052998,6.77557365610798,6.072282021374217
1982-10-01,5.534899538599214,5.770008496098011,6.426911329540605,5.771537418763147,6.304468834922139,6.819459958570276
1983-01-01,5.22200628065746,5.621700818941688,6.121103930555058,5.622391224707486,5.981611460482927,6.343324105485575
1983-04-01,3.0484347007100925,5.04022665649928,5.214692021257929,5.040151471164006,5.645509494724921,6.273303737120559
1983-07-01,6.028045228814596,4.9583464371953045,6.834961208089878,4.95834643719534,5.347570602183572,5.069521929371185
1983-10-01,3.1850165068762974,4.3723287428184765,6.018599596401835,4.3708756792646115,4.9981506638636874,6.891046127076148
1984-01-01,4.021925191245167,4.072320973426269,5.540639296837617,4.070855406911538,4.610805702484832,4.988431601525122
1984-04-01,4.658388868773038,4.4741029855662084,6.662721143102612,4.473343948927274,4.469274784751565,5.34989405449103
1984-07-01,3.7376463316431705,3.9000552892806795,5.564625850031396,3.900744224634418,4.204701997772908,6.46681565694397
1984-10-01,2.833853190846283,3.8122427418609828,4.317529263107845,3.8129533956269146,4.064680497533535,5.574963839374406
1985-01-01,5.421960085753641,4.1622872575163505,5.523426016760082,4.162962119254033,4.087172068556056,4.7364480394873345
1985-04-01,3.4511472576632527,3.861847119514783,4.645502320952232,3.8611517164765865,3.934108102043199,5.8796045412750635
1985-07-01,4.089737486241422,3.949201182245554,4.304508513763629,3.9491745051261495,3.9463945752844176,5.702616592574408
1985-10-01,2.8586539161733726,3.954717144284814,3.7787320697866162,3.955374686457922,3.9820131758903754,5.3521943011960955
1986-01-01,4.2929729769834,3.6738027710030874,3.954829372057108,3.6731279092653617,3.8598920542620596,4.0201152428768605
1986-04-01,2.7306515467419517,3.4936500744496612,3.4932085268933717,3.493003981535036,3.767842792995779,4.627167575862444
1986-07-01,2.7429385340934096,3.1563248200129568,2.9011638307699914,3.1563042434980333,3.56962370243763,5.1625249301865415
1986-10-01,3.243976099234527,3.2526558326887667,3.1988963980697296,3.252634789263322,3.394108374538618,4.794422591861035
1987-01-01,2.5202089631837326,2.810076282880214,2.8787723083966372,2.8094437858134054,3.1781767525078997,4.444732586540636
1987-04-01,3.8673186796945638,3.0929644761369612,3.331512006489403,3.0936105690515583,3.0780053529297247,3.901133625550364
1987-07-01,3.569614814354432,3.300300470830564,3.671061028221435,3.300279639116814,3.1139992656341264,4.897512919552337
1987-10-01,4.047252066233875,3.500505926199571,3.8238845149239227,3.5010986308666507,3.1759617890118275,5.291094483549055
1988-01-01,3.8314328574832732,3.829489578079315,3.952993186055937,3.828904604441536,3.4308151128116027,5.237522713338009
1988-04-01,4.821260037902813,4.067991388060843,4.456297336707587,4.067389943993598,3.674571840792573,4.935422788324113
1988-07-01,4.5855027078799795,4.321388175196583,4.708455129229467,4.321361917374984,3.929843766884078,4.979391981114814
1988-10-01,4.441809576627674,4.421230498388251,4.476529271393162,4.420001294973435,4.1600249099312485,5.056401006418068
1989-01-01,4.344169092343378,4.546386208634257,4.388577889377142,4.548185353688461,4.339249067569984,4.9467535023968425
1989-04-01,3.620185742010419,4.24731533564815,3.934967475765141,4.2479167797153625,4.384080054466811,4.7841776094504445
1989-07-01,2.970250974311104,3.843554096989976,3.3096725913315335,3.8441038463231436,4.264621534915158,4.362676157777208
1989-10-01,3.6429439574269926,3.643820459708902,3.453962380628964,3.644387441522974,4.070269025245321,3.9432532914048553
1990-01-01,4.579828314431115,3.7033233942747934,4.284492052217446,3.703302247044908,3.8595033216554553,4.289842903407074
1990-04-01,4.44151720579341,3.908635112990666,4.370738626129256,3.9086351129906554,3.7748332659910844,5.097700282865955
1990-07-01,4.024125540805954,4.172699307445438,4.06314515398101,4.172103754614368,3.8571195686049498,5.466800381405438
1990-10-01,3.3445559228934205,4.097529508627051,3.653057661286817,4.097506745980975,3.970546830834487,4.809934534017149
1991-01-01,3.5304960060085198,3.8362736299669464,3.5718623922690025,3.835173668875326,4.003784389757525,3.6627078621547433
