date,exp.model,exp.arima101,exp.arima101.override,spf.cpi1y
1984-07-01,5.564625850031396,5.1557373879590624,5.1557373879590624,4.9494
1984-10-01,4.317529263107845,4.637798790816436,4.637798790816436,4.4247
1985-01-01,5.523426016760082,3.860263627918348,3.860263627918348,4.1242
1985-04-01,4.645502320952232,4.88226454185374,4.88226454185374,4.3497
1985-07-01,4.304508513763629,4.333883290154603,4.333883290154603,4.2497
1985-10-01,3.7787320697866162,4.3951859857963935,4.3951859857963935,3.8497
1986-01-01,3.954829372057108,3.7867124446019536,3.7867124446019536,3.5871
1986-04-01,3.4932085268933717,4.202689388965992,4.202689388965992,3.4112
1986-07-01,2.9011638307699914,3.6398863165805615,3.6398863165805615,3.4999
1986-10-01,3.1988963980697296,3.3491038375704107,3.3491038375704107,3.6248
1987-01-01,2.8787723083966372,3.462262053320206,3.462262053320206,3.8997
1987-04-01,3.331512006489403,3.13889504667123,3.13889504667123,4.3625
1987-07-01,3.671061028221435,3.6640233235270783,3.6640233235270783,4.4999
1987-10-01,3.8238845149239227,3.7560667368926746,3.7560667368926746,4.3749
1988-01-01,3.952993186055937,4.030441819488258,4.030441819488258,4.1997
1988-04-01,4.456297336707587,4.056097659922284,4.056097659922284,4.5749
1988-07-01,4.708455129229467,4.54201677571879,4.54201677571879,4.975
1988-10-01,4.476529271393162,4.6520685784856814,4.6520685784856814,4.9
1989-01-01,4.388577889377142,4.638294807836685,4.638294807836685,4.8499
1989-04-01,3.934967475765141,4.563327093788156,4.563327093788156,4.9123
1989-07-01,3.3096725913315335,4.177093676603252,4.177093676603252,4.65
1989-10-01,3.453962380628964,3.635453559791979,3.635453559791979,4.225
1990-01-01,4.284492052217446,3.7215635991961737,3.7215635991961737,4.3499
1990-04-01,4.370738626129256,4.268082899708855,4.268082899708855,4.1998
1990-07-01,4.06314515398101,4.443336938600229,4.443336938600229,4.4494
1990-10-01,3.653057661286817,4.305644064338481,4.305644064338481,4.5114
1991-01-01,3.5718623922690025,3.935929873686622,3.935929873686622,3.6624
1991-04-01,3.4395825285691326,3.8592935051577175,3.8592935051577175,3.8375
1991-07-01,3.5048164736073932,3.6435915487661488,3.6435915487661488,3.7724
1991-10-01,3.47318111944135,3.7313121850735356,3.7313121850735356,3.5499
1992-01-01,3.4446948318652266,3.6587254429407086,3.6587254429407086,3.3999
1992-04-01,3.317120199806007,3.599673626251578,3.599673626251578,3.5249
1992-07-01,3.1849732641702913,3.491281730131619,3.491281730131619,3.325
1992-10-01,3.1672518578088025,3.397149750172587,3.397149750172587,3.2499
1993-01-01,3.2122452530047267,3.4365813291505667,3.4365813291505667,3.2125
1993-04-01,3.2878185088173444,3.3790056618859285,3.3790056618859285,3.3749
1993-07-01,3.183435743887072,3.3476102858934107,3.3476102858934107,3.3
1993-10-01,2.9554308690889646,3.0948816212889905,3.0948816212889905,3.03
1994-01-01,2.6169689371365426,2.8270072581876464,2.8270072581876464,3.2
1994-04-01,2.6826342188989587,2.5482669386329566,2.5482669386329566,3.275
1994-07-01,2.6153467741933207,2.777048064975305,2.777048064975305,3.325
1994-10-01,2.4998697491464963,2.6788920384023265,2.6788920384023265,3.425
1995-01-01,2.430536497200379,2.5177512871607126,2.5177512871607126,3.4125
1995-04-01,2.4699852763146017,2.42475070010646,2.42475070010646,3.525
1995-07-01,2.3430476293669016,2.544349189330044,2.544349189330044,3.275
1995-10-01,2.2404645830151444,2.3160955512527153,2.3160955512527153,2.95
1996-01-01,2.0108626184539107,2.3399307767540307,2.3399307767540307,2.775
1996-04-01,1.9719345979065372,1.9480701344743634,1.9480701344743634,2.8749
1996-07-01,1.9313364483015372,2.0819679568695793,2.0819679568695793,3.0025
1996-10-01,2.1354704566987555,2.0622797692625596,2.0622797692625596,3.025
1997-01-01,1.8563918719313177,2.385107826632985,2.385107826632985,3.0625
1997-04-01,2.1057448531943783,1.9233440086697504,1.9233440086697504,2.9999
1997-07-01,1.406186757911942,2.179695035591638,2.179695035591638,2.8499
1997-10-01,1.3987116237256336,1.4755063869797311,1.4755063869797311,2.6
1998-01-01,1.117125058195729,1.4320346650705091,1.4320346650705091,2.2624
1998-04-01,1.1265885738551031,1.32906983477317,1.32906983477317,2.4499
1998-07-01,1.179753554769868,1.3434527769904732,1.3434527769904732,2.475
1998-10-01,1.1681763143542978,1.4629134564976167,1.4629134564976167,2.3124
1999-01-01,1.1400394550944952,1.4024231353436307,1.4024231353436307,2.1749
1999-04-01,1.2054974031013548,1.2446802665578218,1.2446802665578218,2.2
1999-07-01,1.2084664714440367,1.4498033027843418,1.4498033027843418,2.3787
1999-10-01,1.492565502776673,1.4655119176144196,1.4655119176144196,2.525
2000-01-01,1.676908197703065,1.7827077049020572,1.7827077049020572,2.4625
2000-04-01,1.6375537354782477,2.0142820768514094,2.0142820768514094,2.6062
2000-07-01,1.8237219079635756,1.6918388604562913,1.6918388604562913,2.7125
2000-10-01,1.807241199321814,1.843604846396957,1.843604846396957,2.675
2001-01-01,2.0416268260776924,1.9402499679386058,1.9402499679386058,2.4875
